city,province,name
32.77,32,KOTA CIMAHI
32.78,32,KOTA TASIKMALAYA
32.79,32,KOTA BANJAR
33.01,33,KAB. CILACAP
33.02,33,KAB. BANYUMAS
33.03,33,KAB. PURBALINGGA
33.04,33,KAB. BANJARNEGARA
33.05,33,KAB. KEBUMEN
33.06,33,KAB. PURWOREJO
33.07,33,KAB. WONOSOBO
33.08,33,KAB. MAGELANG
33.09,33,KAB. BOYOLALI
33.10,33,KAB. KLATEN
33.11,33,KAB. SUKOHARJO
33.12,33,KAB. WONOGIRI
33.13,33,KAB. KARANGANYAR
33.14,33,KAB. SRAGEN
33.15,33,KAB. GROBOGAN
33.16,33,KAB. BLORA
33.17,33,KAB. REMBANG
33.18,33,KAB. PATI
33.19,33,KAB. KUDUS
33.20,33,KAB. JEPARA
33.21,33,KAB. DEMAK
33.22,33,KAB. SEMARANG
33.23,33,KAB. TEMANGGUNG
33.24,33,KAB. KENDAL
33.25,33,KAB. BATANG
33.26,33,KAB. PEKALONGAN
33.27,33,KAB. PEMALANG
33.28,33,KAB. TEGAL
33.29,33,KAB. BREBES
33.71,33,KOTA MAGELANG
33.72,33,KOTA SURAKARTA
33.73,33,KOTA SALATIGA
33.74,33,KOTA SEMARANG
33.75,33,KOTA PEKALONGAN
33.76,33,KOTA TEGAL
34.01,34,KAB. KULON PROGO
34.02,34,KAB. BANTUL
34.03,34,KAB. GUNUNGKIDUL
34.04,34,KAB. SLEMAN
34.71,34,KOTA YOGYAKARTA
35.01,35,KAB. PACITAN
35.02,35,KAB. PONOROGO
35.03,35,KAB. TRENGGALEK
35.04,35,KAB. TULUNGAGUNG
35.05,35,KAB. BLITAR
35.06,35,KAB. KEDIRI
35.07,35,KAB. MALANG
35.08,35,KAB. LUMAJANG
35.09,35,KAB. JEMBER
35.10,35,KAB. BANYUWANGI
35.11,35,KAB. BONDOWOSO
35.12,35,KAB. SITUBONDO
35.13,35,KAB. PROBOLINGGO
35.14,35,KAB. PASURUAN
35.15,35,KAB. SIDOARJO
35.16,35,KAB. MOJOKERTO
35.17,35,KAB. JOMBANG
35.18,35,KAB. NGANJUK
35.19,35,KAB. MADIUN
35.20,35,KAB. MAGETAN
35.21,35,KAB. NGAWI
35.22,35,KAB. BOJONEGORO
35.23,35,KAB. TUBAN
35.24,35,KAB. LAMONGAN
35.25,35,KAB. GRESIK
35.26,35,KAB. BANGKALAN
35.27,35,KAB. SAMPANG
35.28,35,KAB. PAMEKASAN
35.29,35,KAB. SUMENEP
35.71,35,KOTA KEDIRI
35.72,35,KOTA BLITAR
35.73,35,KOTA MALANG
35.74,35,KOTA PROBOLINGGO
35.75,35,KOTA PASURUAN
35.76,35,KOTA MOJOKERTO
35.77,35,KOTA MADIUN
35.78,35,KOTA SURABAYA
35.79,35,KOTA BATU
36.01,36,KAB. PANDEGLANG
36.02,36,KAB. LEBAK
36.03,36,KAB. TANGERANG
36.04,36,KAB. SERANG
36.71,36,KOTA TANGERANG
36.72,36,KOTA CILEGON
36.73,36,KOTA SERANG
36.74,36,KOTA TANGERANG SELATAN
51.01,51,KAB. JEMBRANA
51.02,51,KAB. TABANAN
51.03,51,KAB. BADUNG
51.04,51,KAB. GIANYAR
51.05,51,KAB. KLUNGKUNG
51.06,51,KAB. BANGLI
51.07,51,KAB. KARANGASEM
51.08,51,KAB. BULELENG
51.71,51,KOTA DENPASAR
52.01,52,KAB. LOMBOK BARAT
52.02,52,KAB. LOMBOK TENGAH
52.03,52,KAB. LOMBOK TIMUR
52.04,52,KAB. SUMBAWA
52.05,52,KAB. DOMPU
52.06,52,KAB. BIMA
52.07,52,KAB. SUMBAWA BARAT
52.08,52,KAB. LOMBOK UTARA
52.71,52,KOTA MATARAM
52.72,52,KOTA BIMA
53.01,53,KAB. KUPANG
53.02,53,KAB TIMOR TENGAH SELATAN
53.03,53,KAB. TIMOR TENGAH UTARA
53.04,53,KAB. BELU
53.05,53,KAB. ALOR
53.06,53,KAB. FLORES TIMUR
53.07,53,KAB. SIKKA
53.08,53,KAB. ENDE
53.09,53,KAB. NGADA
53.10,53,KAB. MANGGARAI
53.11,53,KAB. SUMBA TIMUR
53.12,53,KAB. SUMBA BARAT
53.13,53,KAB. LEMBATA
53.14,53,KAB. ROTE NDAO
53.15,53,KAB. MANGGARAI BARAT
53.16,53,KAB. NAGEKEO
53.17,53,KAB. SUMBA TENGAH
53.18,53,KAB. SUMBA BARAT DAYA
53.19,53,KAB. MANGGARAI TIMUR
53.20,53,KAB. SABU RAIJUA
53.21,53,KAB. MALAKA
53.71,53,KOTA KUPANG
61.01,61,KAB. SAMBAS
61.02,61,KAB. MEMPAWAH
61.03,61,KAB. SANGGAU
61.04,61,KAB. KETAPANG
61.05,61,KAB. SINTANG
61.06,61,KAB. KAPUAS HULU
61.07,61,KAB. BENGKAYANG
61.08,61,KAB. LANDAK
61.09,61,KAB. SEKADAU
61.10,61,KAB. MELAWI
61.11,61,KAB. KAYONG UTARA
61.12,61,KAB. KUBU RAYA
61.71,61,KOTA PONTIANAK
61.72,61,KOTA SINGKAWANG
62.01,62,KAB. KOTAWARINGIN BARAT
62.02,62,KAB. KOTAWARINGIN TIMUR
62.03,62,KAB. KAPUAS
62.04,62,KAB. BARITO SELATAN
62.05,62,KAB. BARITO UTARA
62.06,62,KAB. KATINGAN
62.07,62,KAB. SERUYAN
62.08,62,KAB. SUKAMARA
62.09,62,KAB. LAMANDAU
62.10,62,KAB. GUNUNG MAS
62.11,62,KAB. PULANG PISAU
62.12,62,KAB. MURUNG RAYA
62.13,62,KAB. BARITO TIMUR
62.71,62,KOTA PALANGKARAYA
63.01,63,KAB. TANAH LAUT
63.02,63,KAB. KOTABARU
63.03,63,KAB. BANJAR
63.04,63,KAB. BARITO KUALA
63.05,63,KAB. TAPIN
63.06,63,KAB. HULU SUNGAI SELATAN
63.07,63,KAB. HULU SUNGAI TENGAH
63.08,63,KAB. HULU SUNGAI UTARA
63.09,63,KAB. TABALONG
63.10,63,KAB. TANAH BUMBU
63.11,63,KAB. BALANGAN
63.71,63,KOTA BANJARMASIN
63.72,63,KOTA BANJARBARU
64.01,64,KAB. PASER
64.02,64,KAB. KUTAI KARTANEGARA
64.03,64,KAB. BERAU
64.07,64,KAB. KUTAI BARAT
64.08,64,KAB. KUTAI TIMUR
64.09,64,KAB. PENAJAM PASER UTARA
64.11,64,KAB. MAHAKAM ULU
64.71,64,KOTA BALIKPAPAN
64.72,64,KOTA SAMARINDA
64.74,64,KOTA BONTANG
65.01,65,KAB. BULUNGAN
65.02,65,KAB. MALINAU
65.03,65,KAB. NUNUKAN
65.04,65,KAB. TANA TIDUNG
65.71,65,KOTA TARAKAN
71.01,71,KAB. BOLAANG MONGONDOW
71.02,71,KAB. MINAHASA
71.03,71,KAB. KEPULAUAN SANGIHE
71.04,71,KAB. KEPULAUAN TALAUD
71.05,71,KAB. MINAHASA SELATAN
71.06,71,KAB. MINAHASA UTARA
71.07,71,KAB. MINAHASA TENGGARA
71.08,71,KAB. BOLAANG MONGONDOWUTARA
71.09,71,KAB. KEP. SIAU TAGULANDANGBIARO
71.10,71,KAB. BOLAANG MONGONDOWTIMUR
71.11,71,KAB. BOLAANG MONGONDOWSELATAN
71.71,71,KOTA MANADO
71.72,71,KOTA BITUNG
71.73,71,KOTA TOMOHON
71.74,71,KOTA KOTAMOBAGU
72.01,72,KAB. BANGGAI
72.02,72,KAB. POSO
72.03,72,KAB. DONGGALA
72.04,72,KAB. TOLI TOLI
72.05,72,KAB. BUOL
72.06,72,KAB. MOROWALI
72.07,72,KAB. BANGGAI KEPULAUAN
72.08,72,KAB. PARIGI MOUTONG
72.09,72,KAB. TOJO UNA UNA
72.10,72,KAB. SIGI
72.11,72,KAB. BANGGAI LAUT
72.12,72,KAB. MOROWALI UTARA
72.71,72,KOTA PALU
73.01,73,KAB. KEPULAUAN SELAYAR
73.02,73,KAB. BULUKUMBA
73.03,73,KAB. BANTAENG
73.04,73,KAB. JENEPONTO
73.05,73,KAB. TAKALAR
73.06,73,KAB. GOWA
73.07,73,KAB. SINJAI
73.08,73,KAB. BONE
73.09,73,KAB. MAROS
73.10,73,KAB. PANGKAJENE KEPULAUAN
73.11,73,KAB. BARRU
73.12,73,KAB. SOPPENG
73.13,73,KAB. WAJO
73.14,73,KAB. SIDENRENG RAPPANG
73.15,73,KAB. PINRANG
73.16,73,KAB. ENREKANG
73.17,73,KAB. LUWU
73.18,73,KAB. TANA TORAJA
73.22,73,KAB. LUWU UTARA
73.24,73,KAB. LUWU TIMUR
73.26,73,KAB. TORAJA UTARA
73.71,73,KOTA MAKASSAR
73.72,73,KOTA PARE PARE
73.73,73,KOTA PALOPO
74.01,74,KAB. KOLAKA
74.02,74,KAB. KONAWE
74.03,74,KAB. MUNA
74.04,74,KAB. BUTON
74.05,74,KAB. KONAWE SELATAN
74.06,74,KAB. BOMBANA
74.07,74,KAB. WAKATOBI
74.08,74,KAB. KOLAKA UTARA
74.09,74,KAB. KONAWE UTARA
74.10,74,KAB. BUTON UTARA
74.11,74,KAB. KOLAKA TIMUR
74.12,74,KAB. KONAWE KEPULAUAN
74.13,74,KAB. MUNA BARAT
74.14,74,KAB. BUTON TENGAH
74.15,74,KAB. BUTON SELATAN
74.71,74,KOTA KENDARI
74.72,74,KOTA BAU BAU
75.01,75,KAB. GORONTALO
75.02,75,KAB. BOALEMO
75.03,75,KAB. BONE BOLANGO
75.04,75,KAB. PAHUWATO
75.05,75,KAB. GORONTALO UTARA
75.71,75,KOTA GORONTALO
76.01,76,KAB. PASANGKAYU
76.02,76,KAB. MAMUJU
76.03,76,KAB. MAMASA
76.04,76,KAB. POLEWALI MANDAR
76.05,76,KAB. MAJENE
76.06,76,KAB. MAMUJU TENGAH
81.01,81,KAB. MALUKU TENGAH
81.02,81,KAB. MALUKU TENGGARA
81.03,81,KAB. KEPULAUAN TANIMBAR
81.04,81,KAB. BURU
81.05,81,KAB. SERAM BAGIAN TIMUR
81.06,81,KAB. SERAM BAGIAN BARAT
81.07,81,KAB. KEPULAUAN ARU
81.08,81,KAB. MALUKU BARAT DAYA
81.09,81,KAB. BURU SELATAN
81.71,81,KOTA AMBON
81.72,81,KOTA TUAL
82.01,82,KAB. HALMAHERA BARAT
82.02,82,KAB. HALMAHERA TENGAH
82.03,82,KAB. HALMAHERA UTARA
82.04,82,KAB. HALMAHERA SELATAN
82.05,82,KAB. KEPULAUAN SULA
82.06,82,KAB. HALMAHERA TIMUR
82.07,82,KAB. PULAU MOROTAI
82.08,82,KAB. PULAU TALIABU
82.71,82,KOTA TERNATE
82.72,82,KOTA TIDORE KEPULAUAN
91.01,91,KAB. MERAUKE
91.02,91,KAB. JAYAWIJAYA
91.03,91,KAB. JAYAPURA
91.04,91,KAB. NABIRE
91.05,91,KAB. KEPULAUAN YAPEN
91.06,91,KAB. BIAK NUMFOR
91.07,91,KAB. PUNCAK JAYA
91.08,91,KAB. PANIAI
91.09,91,KAB. MIMIKA
91.10,91,KAB. SARMI
91.11,91,KAB. KEEROM
91.12,91,KAB PEGUNUNGAN BINTANG
91.13,91,KAB. YAHUKIMO
91.14,91,KAB. TOLIKARA
91.15,91,KAB. WAROPEN
91.16,91,KAB. BOVEN DIGOEL
91.17,91,KAB. MAPPI
91.18,91,KAB. ASMAT
91.19,91,KAB. SUPIORI
91.20,91,KAB. MAMBERAMO RAYA
91.21,91,KAB. MAMBERAMO TENGAH
91.22,91,KAB. YALIMO
91.23,91,KAB. LANNY JAYA
91.24,91,KAB. NDUGA
91.25,91,KAB. PUNCAK
91.26,91,KAB. DOGIYAI
91.27,91,KAB. INTAN JAYA
91.28,91,KAB. DEIYAI
91.71,91,KOTA JAYAPURA
92.01,92,KAB. SORONG
92.02,92,KAB. MANOKWARI
92.03,92,KAB. FAK FAK
92.04,92,KAB. SORONG SELATAN
92.05,92,KAB. RAJA AMPAT
92.06,92,KAB. TELUK BINTUNI
92.07,92,KAB. TELUK WONDAMA
92.08,92,KAB. KAIMANA
92.09,92,KAB. TAMBRAUW
92.10,92,KAB. MAYBRAT
92.11,92,KAB. MANOKWARI SELATAN
92.12,92,KAB. PEGUNUNGAN ARFAK
92.71,92,KOTA SORONG
